iter	MultiClass
362	0.5350915178
363	0.5350862635
364	0.5350802333
365	0.5350367792
366	0.5350288313
367	0.5350242773
368	0.5349799318
369	0.534973232
370	0.5349678514
371	0.5349619103
372	0.5349577845
373	0.5349532329
374	0.5349473507
375	0.5349389493
376	0.5349349312
377	0.5349264672
378	0.5349231789
379	0.5349150021
380	0.5348858722
381	0.5348819008
382	0.5348750288
383	0.5348684643
384	0.5348601089
385	0.5348550332
386	0.5348503349
387	0.5348456159
388	0.53484087
389	0.5348328544
390	0.5348267325
391	0.5348205115
392	0.5348157054
393	0.5348109434
394	0.534806345
395	0.5348017338
396	0.5347974169
397	0.5347927654
398	0.5347867191
399	0.5347832509
400	0.5347764677
401	0.5347692615
402	0.5347643969
403	0.5347582797
404	0.534753218
405	0.534742614
406	0.5347348623
407	0.5347289262
408	0.5347232781
409	0.5347154945
410	0.5347105593
411	0.5347053137
412	0.5346972329
413	0.5346923222
414	0.5346863511
415	0.5346805087
416	0.534676249
417	0.5346707898
418	0.5346660666
419	0.5346612381
420	0.534653932
421	0.5346469656
422	0.5346400799
423	0.5346322042
424	0.5346254536
425	0.5346223764
426	0.5346167273
427	0.5346112583
428	0.5346057861
429	0.5346004792
430	0.5345951318
431	0.534590593
432	0.5345848479
433	0.5345811298
434	0.5345736601
435	0.5345680672
436	0.5345628866
437	0.5345569411
438	0.5345514167
439	0.5345433359
440	0.5345369932
441	0.534521071
442	0.5345182129
443	0.5345118381
444	0.5345075135
445	0.5345005234
446	0.5344961636
447	0.5344906119
448	0.5344861943
449	0.5344808468
450	0.5344745695
451	0.5344710222
452	0.5344673485
453	0.5344610039
454	0.5344561267
455	0.5344510118
456	0.534447858
457	0.534442707
458	0.5344362113
459	0.5344276903
460	0.5344218393
461	0.5344145029
462	0.5344113672
463	0.5344065666
464	0.5344007542
465	0.5343978961
466	0.5343937032
467	0.534385981
468	0.5343810866
469	0.5343741798
470	0.53436445
471	0.5343576685
472	0.5343511448
473	0.534347054
474	0.5343426105
475	0.5343387448
476	0.5343342735
477	0.5343292961
478	0.5343226126
479	0.5343193773
480	0.5343136845
481	0.5343091181
482	0.5343044244
483	0.534299065
484	0.5342946381
485	0.5342888354
486	0.5342815305
487	0.5342755552
488	0.5342702494
489	0.5342657839
490	0.53425713
491	0.5342532162
492	0.5342464875
493	0.5342276288
494	0.5342238456
495	0.5342201406
496	0.5342179116
497	0.5342088897
498	0.5341991808
499	0.5341920183
500	0.5341661206
501	0.5341623317
502	0.5341554723
503	0.5341502509
504	0.534145517
505	0.5341410234
506	0.5341368127
507	0.534130241
508	0.5341278016
509	0.5341238717
510	0.5340996691
511	0.5340943449
512	0.5340885152
513	0.5340802486
514	0.5340768776
515	0.5340721607
516	0.534067665
517	0.5340633138
518	0.5340550597
519	0.5340462721
520	0.5340407442
521	0.5340340407
522	0.5340317732
523	0.5340253911
524	0.5340221179
525	0.5340173601
526	0.5340096879
527	0.5340048689
528	0.5340002646
529	0.5339943054
530	0.5339858272
531	0.533979988
532	0.5339740864
533	0.5339683987
534	0.5339642961
535	0.5339593519
536	0.5339546122
537	0.533949424
538	0.5339424279
539	0.5339342343
540	0.5339281486
541	0.5339241338
542	0.5339199378
543	0.5339154916
544	0.5339095776
545	0.5339042229
546	0.5338817942
547	0.5338752236
548	0.5338688729
549	0.5338628228
550	0.5338553197
551	0.533809927
552	0.5338064819
553	0.5338003982
554	0.5337958419
555	0.5337888171
556	0.5337835902
557	0.5337811129
558	0.5337761275
559	0.5337675925
560	0.533761026
561	0.5337533435
562	0.5337449826
563	0.5337215162
564	0.5337174278
565	0.5337125401
566	0.5337089859
567	0.5337049329
568	0.5337014956
569	0.5336944227
570	0.5336904374
571	0.5336678931
572	0.5336637813
573	0.5336533826
574	0.5336500292
575	0.5336470349
576	0.5336414466
577	0.5336360653
578	0.5336290693
579	0.5336241808
580	0.5336177786
581	0.5336145928
582	0.533610881
583	0.5336038865
584	0.5335986529
585	0.5335946116
586	0.5335853935
587	0.5335782914
588	0.5335748063
589	0.5335672105
590	0.5335636615
591	0.5335591809
592	0.5335543319
593	0.5335459846
594	0.5335434589
595	0.5335396521
596	0.533534764
597	0.5335299269
598	0.5335255352
599	0.5335195891
600	0.5335121872
601	0.5335065929
602	0.5335026585
603	0.5334977703
604	0.5334932254
605	0.53348941
606	0.5334840862
607	0.5334785914
608	0.5334746126
609	0.5334706319
610	0.5334638605
611	0.5334567795
612	0.5334521467
613	0.5334459378
614	0.5334397995
615	0.533437566
616	0.5334208393
617	0.5334162065
618	0.5334095911
619	0.5333871778
620	0.5333809528
621	0.5333764665
622	0.5333719276
623	0.5333660549
624	0.5333628501
625	0.5333591569
626	0.5333562358
627	0.5333507171
628	0.5333434948
629	0.533339033
630	0.5333315833
631	0.5333257397
632	0.5333214497
633	0.5333160178
634	0.5333123567
635	0.533303518
636	0.5332984833
637	0.5332924325
638	0.5332881778
639	0.5332851812
640	0.5332747588
641	0.533270553
642	0.5332669182
643	0.5332600666
644	0.5332572484
645	0.5332522127
646	0.533246296
647	0.5332417654
648	0.5332334722
649	0.533226445
650	0.5332235442
651	0.5332182159
652	0.533214923
653	0.5332101347
654	0.5332040227
655	0.5332005641
656	0.5331931396
657	0.5331884891
658	0.5331832703
659	0.5331777764
660	0.5331725833
661	0.5331666731
662	0.5331619841
663	0.5331575306
664	0.5331524353
665	0.5331459607
666	0.5331402253
667	0.5331347869
668	0.5331309594
669	0.5331260602
670	0.5331208114
671	0.5331138928
672	0.5331098547
673	0.5331046386
674	0.5329932416
675	0.5329868889
676	0.532981952
677	0.5329749192
678	0.5329661704
679	0.5329618407
680	0.5329567197
681	0.5329534767
682	0.5329467544
683	0.532940824
684	0.5329336328
685	0.5329062504
686	0.532901635
687	0.5328974576
688	0.5328907498
689	0.532873224
690	0.5328674389
691	0.5328616964
692	0.5328554213
693	0.5328490563
694	0.5328432347
695	0.5328363485
696	0.5328298392
697	0.53282449
698	0.5328178619
699	0.5328113322
700	0.5328070555
701	0.5328030863
702	0.5327969764
703	0.5327932546
704	0.5327913653
705	0.532785139
706	0.5327810802
707	0.5327769831
708	0.5327720492
709	0.5327662091
710	0.5327575293
711	0.532751853
712	0.5327473161
713	0.5327413511
714	0.5327342889
715	0.5327276724
716	0.5327219547
717	0.5327157818
718	0.5327115294
719	0.5327077458
720	0.5327007645
721	0.5326948583
722	0.5326890496
723	0.532683686
724	0.5326802068
725	0.5326752905
726	0.5326697931
727	0.5326648155
728	0.5326600364
729	0.5326535991
730	0.5326479561
731	0.5326445775
732	0.5326240365
733	0.5326165767
734	0.532609541
735	0.5326042699
736	0.5326000136
737	0.5325954398
738	0.5325902984
739	0.5325850502
740	0.532579941
741	0.5325756939
742	0.5325709065
743	0.5325671647
744	0.5325621517
745	0.5325560768
746	0.5325521643
747	0.5325480154
748	0.5325396089
749	0.5325314811
750	0.5325247966
751	0.5325205276
752	0.5325175915
753	0.532511666
754	0.5325069281
755	0.5325002643
756	0.532496217
757	0.5324901321
758	0.5324832198
759	0.5324794536
760	0.5324761481
761	0.5324722251
762	0.532462451
763	0.532456828
764	0.5324535827
765	0.5324500734
766	0.5324459623
767	0.5324420452
768	0.5324365592
769	0.5324280989
770	0.5324255509
771	0.5324180351
772	0.5324150893
773	0.5324095475
774	0.5324044915
775	0.5323993634
776	0.5323958627
777	0.5323910034
778	0.5323865525
779	0.5323813058
780	0.5323734677
781	0.5323694025
782	0.532363829
783	0.5323598186
784	0.532353178
785	0.5323476372
786	0.5323405412
787	0.5323363111
788	0.5323287488
789	0.5323237196
790	0.532316818
791	0.5323130805
792	0.5323062996
793	0.5323021971
794	0.5322951682
795	0.5322907175
796	0.5322843847
797	0.5322790081
798	0.532273904
799	0.5322689421
800	0.5322641924
801	0.5322594706
802	0.5322545483
803	0.5322521799
804	0.5322477073
805	0.532241445
806	0.5322352675
807	0.5322305473
808	0.5322212321
809	0.5322168259
810	0.5322134583
811	0.5322099857
812	0.5322061492
813	0.5322020322
814	0.5321933241
815	0.5321893123
816	0.532184918
817	0.5321791693
818	0.5321737545
819	0.5321697943
820	0.5321651704
821	0.5321618988
822	0.5321514043
823	0.5321456334
824	0.532141449
825	0.5321349551
826	0.5321320716
827	0.5321253984
828	0.5321179875
829	0.5321131254
830	0.532108679
831	0.5321033631
832	0.5320992816
833	0.5320919196
834	0.5320886476
835	0.5320815007
836	0.5320759771
837	0.5320717088
838	0.5320677421
839	0.5320605438
840	0.5320568731
841	0.5320528064
842	0.5320478599
843	0.5320374911
844	0.5320318186
845	0.5320276633
846	0.5320219823
847	0.5320181812
848	0.5320124398
849	0.5320067005
850	0.5320026146
851	0.5319953763
852	0.5319918404
853	0.5319870294
854	0.5319819295
855	0.5319776255
856	0.531973749
857	0.5319676761
858	0.5319620365
859	0.5319575328
860	0.5319542299
861	0.5319484538
862	0.5319422786
863	0.5319369058
864	0.5319317087
865	0.5319256981
866	0.5319205027
867	0.5319161705
868	0.5319130644
869	0.5319092925
870	0.5319014568
871	0.5318951737
872	0.5318924798
873	0.5318872874
874	0.5318842633
875	0.5318801492
876	0.5318765832
877	0.5318720543
878	0.5318683034
879	0.5318637181
880	0.5318601823
881	0.5318571818
882	0.5318530033
883	0.5318466995
884	0.531840203
885	0.5318382813
886	0.5318320426
887	0.5318273533
888	0.5318221991
889	0.5318180939
890	0.5318142458
891	0.5318050866
892	0.5317998516
893	0.531792789
894	0.5317871271
895	0.5317807123
896	0.5317750503
897	0.5317726477
898	0.5317660079
899	0.5317593166
900	0.5317548127
901	0.5317504161
902	0.531744769
903	0.5317409902
904	0.5317366324
905	0.5317312591
906	0.5317207146
907	0.5317138099
908	0.531709797
909	0.5317030621
910	0.5316997607
911	0.5316949454
912	0.531689811
913	0.5316854644
914	0.5316762946
915	0.5316731899
916	0.5316683093
917	0.5316618394
918	0.5316508892
919	0.5316457315
920	0.5316420098
921	0.5316352969
922	0.5316308585
923	0.5316260457
924	0.5316209609
925	0.5316142893
926	0.5316085757
927	0.5316052073
928	0.5316020959
929	0.5315960843
930	0.5315901353
931	0.5315868699
932	0.5315809795
933	0.5315761962
934	0.5315677318
935	0.5315627138
936	0.5315582988
937	0.531553959
938	0.531551102
939	0.5315461209
940	0.5315440222
941	0.5315379006
942	0.5315332211
943	0.5315279507
944	0.5315244338
945	0.5315177124
946	0.5315121513
947	0.5315093678
948	0.5315045804
949	0.5314988233
950	0.5314915687
951	0.5314872403
952	0.531481358
953	0.5314786285
954	0.5314726079
955	0.5314687975
956	0.5314634884
957	0.5314579958
958	0.5312785816
959	0.5312738593
960	0.5312705858
961	0.531266472
962	0.5312598812
963	0.5312548289
964	0.5312406522
965	0.5312371656
966	0.5312263931
967	0.531222798
968	0.5312180235
969	0.5312066886
970	0.5312020996
971	0.5312001592
972	0.531193447
973	0.5311876354
974	0.5311847947
975	0.5311799977
976	0.5311766023
977	0.5311717918
978	0.5311665855
979	0.5311604318
980	0.5311558693
981	0.5311497547
982	0.5311431418
983	0.5311391157
984	0.5311360179
985	0.531122203
986	0.531117266
987	0.531110495
988	0.5311062793
989	0.5311008911
990	0.5310974735
991	0.5310948159
992	0.5310898014
993	0.5310855121
994	0.5310813231
995	0.5310746652
996	0.5310716233
997	0.5310644757
998	0.5310604423
999	0.5310573066
